Number of literals: 212
Constructing lookup tables: [10%] [20%] [30%] [40%] [50%] [60%] [70%] [80%] [90%] [100%]
Post filtering unreachable actions:  [10%] [20%] [30%] [40%] [50%] [60%] [70%] [80%] [90%] [100%]
[01;34mNo analytic limits found, not considering limit effects of goal-only operators[00m
Pruning (lift hoist0 crate0 crate5 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate1 crate5 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate2 crate5 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate3 crate5 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate4 crate5 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate6 crate5 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate7 crate5 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate8 crate5 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate9 crate5 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate0 crate6 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate1 crate6 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate2 crate6 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate3 crate6 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate4 crate6 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate5 crate6 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate7 crate6 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate8 crate6 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate9 crate6 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate0 crate7 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate1 crate7 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate2 crate7 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate3 crate7 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate4 crate7 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate5 crate7 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate6 crate7 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate8 crate7 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate9 crate7 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate0 crate8 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate1 crate8 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate2 crate8 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate3 crate8 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate4 crate8 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate5 crate8 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate6 crate8 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate7 crate8 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate9 crate8 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate0 crate9 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate1 crate9 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate2 crate9 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate3 crate9 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate4 crate9 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate5 crate9 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate6 crate9 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate7 crate9 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate8 crate9 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate0 pallet0 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate2 pallet0 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate5 pallet0 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate6 pallet0 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate7 pallet0 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate8 pallet0 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate9 pallet0 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate0 pallet1 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate1 pallet1 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate2 pallet1 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate3 pallet1 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate4 pallet1 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate5 pallet1 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate6 pallet1 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate7 pallet1 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate8 pallet1 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate9 pallet1 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate0 pallet2 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate1 pallet2 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate2 pallet2 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate3 pallet2 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate4 pallet2 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate5 pallet2 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate6 pallet2 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate7 pallet2 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate8 pallet2 depot0) - never appeared in initial RPG
Pruning (lift hoist0 crate9 pallet2 depot0) - never appeared in initial RPG
Pruning (lift hoist1 crate1 crate0 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate2 crate0 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate3 crate0 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate4 crate0 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate5 crate0 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate6 crate0 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate7 crate0 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate8 crate0 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate9 crate0 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate0 crate1 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate2 crate1 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate3 crate1 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate4 crate1 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate5 crate1 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate6 crate1 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate7 crate1 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate8 crate1 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate9 crate1 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate0 crate2 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate1 crate2 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate3 crate2 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate4 crate2 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate5 crate2 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate6 crate2 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate7 crate2 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate8 crate2 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate9 crate2 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate0 crate3 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate1 crate3 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate2 crate3 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate4 crate3 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate5 crate3 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate6 crate3 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate7 crate3 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate8 crate3 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate9 crate3 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate0 crate4 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate1 crate4 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate2 crate4 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate3 crate4 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate5 crate4 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate6 crate4 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate7 crate4 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate8 crate4 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate9 crate4 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate0 crate5 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate1 crate5 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate2 crate5 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate3 crate5 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate4 crate5 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate6 crate5 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate7 crate5 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate8 crate5 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate9 crate5 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate0 crate6 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate1 crate6 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate2 crate6 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate3 crate6 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate4 crate6 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate5 crate6 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate9 crate6 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate0 crate7 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate1 crate7 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate2 crate7 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate3 crate7 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate4 crate7 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate5 crate7 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate9 crate7 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate0 crate8 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate1 crate8 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate2 crate8 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate3 crate8 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate4 crate8 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate5 crate8 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate9 crate8 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate0 crate9 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate1 crate9 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate2 crate9 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate3 crate9 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate4 crate9 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate5 crate9 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate6 crate9 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate7 crate9 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate8 crate9 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate0 pallet0 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate1 pallet0 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate2 pallet0 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate3 pallet0 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate4 pallet0 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate5 pallet0 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate6 pallet0 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate7 pallet0 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate8 pallet0 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate9 pallet0 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate0 pallet1 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate1 pallet1 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate2 pallet1 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate3 pallet1 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate4 pallet1 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate5 pallet1 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate9 pallet1 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate0 pallet2 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate1 pallet2 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate2 pallet2 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate3 pallet2 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate4 pallet2 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate5 pallet2 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate6 pallet2 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate7 pallet2 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate8 pallet2 distributor0) - never appeared in initial RPG
Pruning (lift hoist1 crate9 pallet2 distributor0) - never appeared in initial RPG
Pruning (lift hoist2 crate1 crate0 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate3 crate0 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate4 crate0 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate6 crate0 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate7 crate0 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate8 crate0 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate0 crate1 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate2 crate1 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate3 crate1 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate4 crate1 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate5 crate1 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate6 crate1 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate7 crate1 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate8 crate1 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate9 crate1 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate1 crate2 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate3 crate2 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate4 crate2 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate6 crate2 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate7 crate2 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate8 crate2 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate0 crate3 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate1 crate3 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate2 crate3 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate4 crate3 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate5 crate3 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate6 crate3 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate7 crate3 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate8 crate3 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate9 crate3 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate0 crate4 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate1 crate4 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate2 crate4 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate3 crate4 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate5 crate4 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate6 crate4 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate7 crate4 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate8 crate4 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate9 crate4 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate1 crate5 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate3 crate5 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate4 crate5 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate6 crate5 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate7 crate5 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate8 crate5 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate0 crate6 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate1 crate6 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate2 crate6 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate3 crate6 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate4 crate6 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate5 crate6 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate7 crate6 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate8 crate6 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate9 crate6 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate0 crate7 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate1 crate7 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate2 crate7 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate3 crate7 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate4 crate7 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate5 crate7 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate6 crate7 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate8 crate7 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate9 crate7 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate0 crate8 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate1 crate8 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate2 crate8 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate3 crate8 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate4 crate8 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate5 crate8 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate6 crate8 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate7 crate8 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate9 crate8 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate1 crate9 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate3 crate9 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate4 crate9 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate6 crate9 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate7 crate9 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate8 crate9 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate0 pallet0 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate1 pallet0 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate2 pallet0 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate3 pallet0 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate4 pallet0 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate5 pallet0 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate6 pallet0 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate7 pallet0 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate8 pallet0 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate9 pallet0 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate0 pallet1 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate1 pallet1 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate2 pallet1 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate3 pallet1 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate4 pallet1 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate5 pallet1 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate6 pallet1 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate7 pallet1 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate8 pallet1 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate9 pallet1 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate1 pallet2 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate3 pallet2 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate4 pallet2 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate6 pallet2 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate7 pallet2 distributor1) - never appeared in initial RPG
Pruning (lift hoist2 crate8 pallet2 distributor1) - never appeared in initial RPG
Pruning (drop hoist0 crate1 crate0 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate2 crate0 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate3 crate0 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate4 crate0 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate5 crate0 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate6 crate0 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate7 crate0 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate8 crate0 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate9 crate0 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate0 crate1 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate2 crate1 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate5 crate1 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate6 crate1 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate7 crate1 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate8 crate1 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate9 crate1 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate0 crate2 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate1 crate2 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate3 crate2 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate4 crate2 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate5 crate2 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate6 crate2 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate7 crate2 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate8 crate2 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate9 crate2 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate0 crate3 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate2 crate3 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate5 crate3 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate6 crate3 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate7 crate3 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate8 crate3 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate9 crate3 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate0 crate4 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate2 crate4 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate5 crate4 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate6 crate4 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate7 crate4 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate8 crate4 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate9 crate4 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate0 crate5 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate1 crate5 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate2 crate5 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate3 crate5 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate4 crate5 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate6 crate5 depot0) - never appeared in initial RPG
Pruning (drop hoist0 crate7 crate5 depot0) - never appeared in initial RPG
